@relation Espectadores

@attribute genero { Accion, Aventura, Animacion, Comedia,  Drama, Terror, Sci-fi, Thriller, Otros }
@attribute edad { Todos, >7, >12, >16, >18 }
@attribute mesEstreno { Enero, Febrero, Marzo, Abril, Mayo, Junio, Julio, Agosto, Septiembre, Octubre, Noviembre, Diciembre }
@attribute duracion numeric
@attribute productora { WaltDisneyCompany, TwentiethCenturyFox, UniversalPicturesInternational, WarnerBrosEntertainment, SonyPicturesReleasing, AurumProducciones, Paramount, HispanoFoxfilm, AContracorrienteFilms, CastelaoPictures, DeaPlaneta, Tripictures, BettaPictures, InopiaFilms, GolemDistribuciones, VertigoFilms, Otra }
@attribute pais { ESP, EEUU }
@attribute basadaEn { Libro, Comic, HechosReales, Original }
@attribute actorRenombre {Si, No}
@attribute espectadores { MuyPocos, Pocos, Medio, Bastantes, Muchos }

@Data
Comedia, Todos, Febrero, 92, Paramount, EEUU, Original, Si, Bastantes
Drama, >18, Febrero, 125, UniversalPicturesInternational, EEUU, Libro, No, Muchos
Comedia, >7, Marzo, 102, WarnerBrosEntertainment, ESP, Original, Si, Muchos
Accion, >16, Marzo, 120, SonyPicturesReleasing, EEUU, Original, No, Medio
Accion, >7, Julio, 117, WaltDisneyCompany, EEUU, Comic, No, Bastantes
Accion, >7, Abril, 142, WaltDisneyCompany, EEUU, Comic, Si, Muchos
Drama, >16, Marzo, 91, UniversalPicturesInternational, EEUU, Original, Si, Medio
Comedia, >16, Mayo, 101, SonyPicturesReleasing, EEUU, Original, No, Pocos
Animacion, Todos, Marzo, 94, HispanoFoxfilm, EEUU, Original, No, Bastantes
Accion, >16, Enero, 134, TwentiethCenturyFox, EEUU, Original, Si, Bastantes
Sci-fi, >12, Abril, 119, AurumProducciones, EEUU, Libro, No, Bastantes
Accion, >16, Abril, 137, UniversalPicturesInternational, EEUU, Original, Si, Muchos
Comedia, >16, Septiembre, 87, WarnerBrosEntertainment, ESP, Comic, Si, Medio
Thriller, >12, Octubre, 106, UniversalPicturesInternational, ESP, Original, Si, Muchos
Comedia, >7, Noviembre, 99, UniversalPicturesInternational, ESP, Original, Si, Muchos
Aventura, >12, Junio, 124, UniversalPicturesInternational, EEUU, Original, Si, Muchos
Accion, >12, Junio, 114, WarnerBrosEntertainment, EEUU, Original, Si, Bastantes
Sci-fi, >12, Julio, 125, Paramount, EEUU, Original, Si, Bastantes
Comedia, >7, Julio, 106, SonyPicturesReleasing, EEUU, Original, Si, Bastantes
Comedia, >16, Julio, 115, UniversalPicturesInternational, EEUU, Original, Si, Bastantes
Thriller, >16, Julio, 83, UniversalPicturesInternational, EEUU, Original, No, Medio
Terror, >16, Julio, 80, WarnerBrosEntertainment, EEUU, Original, No, Bastantes
Drama, >12, Diciembre, 121, WarnerBrosEntertainment, EEUU, HechosReales, Si, Medio
Thriller, >16, Agosto, 108, SonyPicturesReleasing, EEUU, Original, No, Medio
Drama, >16, Septiembre, 163, Otra, ESP, Libro, Si, Muchos
Sci-fi, >7, Diciembre, 136, WaltDisneyCompany, EEUU, Original, Si, Muchos
Drama, >16, Diciembre, 93, BettaPictures, ESP, Libro, No, Medio
Sci-fi, >12, Noviembre, 137, AurumProducciones, EEUU, Libro, Si, Muchos
Sci-fi, >7, Octubre, 142, TwentiethCenturyFox, EEUU, Libro,, Si, Muchos
Sci-fi, >7, Diciembre, 100, TwentiethCenturyFox, EEUU, Comic, No, Bastantes
Drama, >16, Febrero, 132, WarnerBrosEntertainment, EEUU, HechosReales, Si, Muchos
Aventura, >12, Enero, 102, UniversalPicturesInternational, EEUU, Libro, No, Medio
Terror, >12, Mayo, 94, HispanoFoxfilm,, EEUU, Original, No, Medio
Terror, >16, Junio, 97, AurumProducciones, EEUU , Original, No, Medio
Animacion, Todos, Junio, 91, UniversalPicturesInternational, EEUU, Original, No, Medio
Animacion, Todos, Julio, 94, WaltDisneyCompany, EEUU, Original, No, Medio
Accion, >12, Septiembre, 132, TwentiethCenturyFox, EEUU, Libro, No, Pocos
Animacion, Todos, Noviembre, 93, WaltDisneyCompany, EEUU, Original, No, Muchos
Animacion, Todos, Agosto, 91, Paramount, ESP, Original, No, Muchos
Sci-fi, >12, Noviembre, 110, AContracorrienteFilms, ESP, Original, Si, Pocos
Comedia, >16, Diciembre, 97, DeaPlaneta, ESP, Original, No, Pocos
Comedia, >12, Octubre, 93, Otra, ESP, Original, Si, Medio
Animacion, Todos, Diciembre, 89, TwentiethCenturyFox, EEUU, Comic, No, Bastantes
Otros, >18, Enero, 168, AurumProducciones, EEUU, Original, Si, Bastantes
Otros, >7, Agosto, 104, DeaPlaneta, EEUU, Libro, No, Pocos
Otros, >12, Junio, 120, Otra, ESP, Original, No, Medio
Otros, >12, Junio, 86, SonyPicturesReleasing, ESP, Original, Si, Muchos
Drama, >7, Diciembre, 123, SonyPicturesReleasing, EEUU, HechosReales, Si, Medio
Drama, >7, Enero, 114, Tripictures, EEUU, Libro, Si, Bastantes
Comedia, >16, Marzo, 104, WarnerBrosEntertainment, EEUU, Original, Si, Bastantes
Comedia, >12, Agosto, 99, WarnerBrosEntertainment, EEUU, Original, No, Medio
Aventura, >7, Octubre, 111, WarnerBrosEntertainment, EEUU, Libro, No, Bastantes
Sci-fi, >12, Febrero, 128, WarnerBrosEntertainment, EEUU, Original, Si, Medio
Accion, >12, Agosto, 116, WarnerBrosEntertainment, EEUU, Original, No, Medio
Drama, >12, Octubre, 103, CastelaoPictures, ESP, Original, No, Bastantes
Aventura, Todos, Marzo, 105, WaltDisneyCompany, EEUU, Libro, No, Muchos
Aventura, >7, Mayo, 129, WaltDisneyCompany, EEUU, Original, Si, Bastantes
Aventura, >12, Septiembre, 121, UniversalPicturesInternational, EEUU, HechosReales, Si, Bastantes
Thriller, >12, Julio, 100, HispanoFoxfilm, EEUU, HechosReales, Si, Pocos
Terror, >18, Noviembre, 97, AurumProducciones, EEUU, Original, No, Pocos
Terror, >16, Octubre, 106, AurumProducciones, EEUU, Original, Si, Bastantes
Terror, >18, Septiembre, 82, Otra, ESP, Original, No, MuyPocos
Terror, >16, Mayo, 100, Otra, EEUU, Original, No, Pocos
Terror, >16, Diciembre, 82, CastelaoPictures, ESP, Original, No, Pocos
Accion, >12, Agosto, 131, Paramount, EEUU, Original, Si, Muchos
Accion, >16, Octubre, 97, HispanoFoxfilm, EEUU, Original, No, Medio
Animacion, Todos, Junio, 76, WaltDisneyCompany, EEUU, Original, No, Medio
Animacion, Todos, Octubre, 89, SonyPicturesReleasing, EEUU, Original, No, Muchos
Animacion, Todos, Febrero, 108, WaltDisneyCompany, EEUU, Original, No, Muchos
Animacion, Todos, Enero, 93, HispanoFoxfilm, EEUU, Original, No, Bastantes
Thriller, >12, Diciembre, 150, HispanoFoxfilm, EEUU, HechosReales, Si, Muchos
Thriller, >12, Septiembre, 98, WarnerBrosEntertainment, ESP, Original, Si, Medio
Thriller, >16, Septiembre, 94, UniversalPicturesInternational, EEUU, Original, No, Bastantes
Accion, >12, Noviembre, 147, SonyPicturesReleasing, EEUU, Original, Si, Bastantes
Thriller, >16, Octubre, 103, AurumProducciones, EEUU, Original, Si, Medio
Drama, >12, Diciembre, 113, AContracorrienteFilms, EEUU, Libro, Si, Pocos
Comedia, >12, Diciembre, 107, Tripictures, EEUU, Original, Si, Pocos
Drama, Todos, Diciembre, 121, Otra, EEUU, Original, No, MuyPocos
Comedia, >16, Diciembre, 103, SonyPicturesReleasing, EEUU, Original, No, MuyPocos
Aventura, Todos, Diciembre, 104, InopiaFilms, EEUU, Original, No, Pocos
Terror, >12, Diciembre, 98, UniversalPicturesInternational, EEUU, Original, No, Medio
Comedia, >16, Diciembre, 101, SonyPicturesReleasing, EEUU, Original, No, MuyPocos
