@relation Espectadores

@attribute genero { Accion, Aventura, Animacion, Comedia,  Drama, Terror, Sci-fi, Thriller, Otros }
@attribute edad { Todos, >7, >12, >16, >18 }
@attribute mesEstreno { Enero, Febrero, Marzo, Abril, Mayo, Junio, Julio, Agosto, Septiembre, Octubre, Noviembre, Diciembre }
@attribute duracion numeric
@attribute productora { WaltDisneyCompany, TwentiethCenturyFox, UniversalPicturesInternational, WarnerBrosEntertainment, SonyPicturesReleasing, AurumProducciones, Paramount, HispanoFoxfilm, AContracorrienteFilms, CastelaoPictures, DeaPlaneta, Tripictures, BettaPictures, InopiaFilms, GolemDistribuciones, VertigoFilms, Otra }
@attribute pais { ESP, EEUU }
@attribute basadaEn { Libro, Comic, HechosReales, Original }
@attribute actorRenombre {Si, No}
@attribute recaudacion {MuyPoca, Poca, Media, Bastante, Mucha}

@Data
Comedia, Todos, Febrero, 92, Paramount, EEUU, Original, Si, Bastante
Drama, >18, Febrero, 125, UniversalPicturesInternational, EEUU, Libro, No, Mucha
Comedia, >7, Marzo, 102, WarnerBrosEntertainment, ESP, Original, Si, Bastante
Accion, >16, Marzo, 120, SonyPicturesReleasing, EEUU, Original, No, Mucha
Accion, >7, Julio, 117, WaltDisneyCompany, EEUU, Comic, No, Bastante
Accion, >7, Abril, 142, WaltDisneyCompany, EEUU, Comic, Si, Mucha
Drama, >16, Marzo, 91, UniversalPicturesInternational, EEUU, Original, Si, Media
Comedia, >16, Mayo, 101, SonyPicturesReleasing, EEUU, Original, No, Poca
Animacion, Todos, Marzo, 94, HispanoFoxfilm, EEUU, Original, No, Mucha
Accion, >16, Enero, 134, TwentiethCenturyFox, EEUU, Original, Si, Bastante
Sci-fi, >12, Abril, 119, AurumProducciones, EEUU, Libro, No, Bastante
Accion, >16, Abril, 137, UniversalPicturesInternational, EEUU, Original, Si, Mucha
Comedia, >16, Septiembre, 87, WarnerBrosEntertainment, ESP, Comic, Si, Media
Thriller, >12, Octubre, 106, UniversalPicturesInternational, ESP, Original, Si, Bastante
Comedia, >7, Noviembre, 99, UniversalPicturesInternational, ESP, Original, Si, Mucha
Aventura, >12, Junio, 124, UniversalPicturesInternational, EEUU, Original, Si, Mucha
Accion, >12, Junio, 114, WarnerBrosEntertainment, EEUU, Original, Si, Bastante
Sci-fi, >12, Julio, 125, Paramount, EEUU, Original, Si, Poca
Comedia, >7, Julio, 106, SonyPicturesReleasing, EEUU, Original, Si, Bastante
Comedia, >16, Julio, 115, UniversalPicturesInternational, EEUU, Original, Si, Bastante
Thriller, >16, Julio, 83, UniversalPicturesInternational, EEUU, Original, No, Media
Terror, >16, Julio, 80, WarnerBrosEntertainment, EEUU, Original, No, Media
Drama, >12, Diciembre, 121, WarnerBrosEntertainment, EEUU, HechosReales, Si, Media
Thriller, >16, Agosto, 108, SonyPicturesReleasing, EEUU, Original, No, Media
Drama, >16, Septiembre, 163, Otra, ESP, Libro, Si, Mucha
Sci-fi, >7, Diciembre, 136, WaltDisneyCompany, EEUU, Original, Si, Mucha
Drama, >16, Diciembre, 93, BettaPictures, ESP, Libro, No, Media
Sci-fi, >12, Noviembre, 137, AurumProducciones, EEUU, Libro, Si, Mucha
Sci-fi, >7, Octubre, 142, TwentiethCenturyFox, EEUU, Libro,, Si, Bastante
Sci-fi, >7, Diciembre, 100, TwentiethCenturyFox, EEUU, Comic, No, Bastante
Drama, >16, Febrero, 132, WarnerBrosEntertainment, EEUU, HechosReales, Si, Bastante
Aventura, >12, Enero, 102, UniversalPicturesInternational, EEUU, Libro, No, Media
Terror, >12, Mayo, 94, HispanoFoxfilm,, EEUU, Original, No, Media
Terror, >16, Junio, 97, AurumProducciones, EEUU , Original, No, Media
Animacion, Todos, Junio, 91, UniversalPicturesInternational, EEUU, Original, No, Mucha
Animacion, Todos, Julio, 94, WaltDisneyCompany, EEUU, Original, No, Mucha
Accion, >12, Septiembre, 132, TwentiethCenturyFox, EEUU, Libro, No, Bastante
Animacion, Todos, Noviembre, 93, WaltDisneyCompany, EEUU, Original, No, Bastante
Animacion, Todos, Agosto, 91, Paramount, ESP, Original, No, Bastante
Sci-fi, >12, Noviembre, 110, AContracorrienteFilms, ESP, Original, Si, Poca
Comedia, >16, Diciembre, 97, DeaPlaneta, ESP, Original, No, Poca
Comedia, >12, Octubre, 93, Otra, ESP, Original, Si, Media
Animacion, Todos, Diciembre, 89, TwentiethCenturyFox, EEUU, Comic, No, Bastante
Otros, >18, Enero, 168, AurumProducciones, EEUU, Original, Si, Bastante
Otros, >7, Agosto, 104, DeaPlaneta, EEUU, Libro, No, Poca
Otros, >12, Junio, 120, Otra, ESP, Original, No, Media
Otros, >12, Junio, 86, SonyPicturesReleasing, ESP, Original, Si, Bastante
Drama, >7, Diciembre, 123, SonyPicturesReleasing, EEUU, HechosReales, Si, Media
Drama, >7, Enero, 114, Tripictures, EEUU, Libro, Si, Bastante
Comedia, >16, Marzo, 104, WarnerBrosEntertainment, EEUU, Original, Si, Bastante
Comedia, >12, Agosto, 99, WarnerBrosEntertainment, EEUU, Original, No, Media
Aventura, >7, Octubre, 111, WarnerBrosEntertainment, EEUU, Libro, No, Bastante
Sci-fi, >12, Febrero, 128, WarnerBrosEntertainment, EEUU, Original, Si, Media
Accion, >12, Agosto, 116, WarnerBrosEntertainment, EEUU, Original, No, Media
Drama, >12, Octubre, 103, CastelaoPictures, ESP, Original, No, Bastante
Aventura, Todos, Marzo, 105, WaltDisneyCompany, EEUU, Libro, No, Bastante
Aventura, >7, Mayo, 129, WaltDisneyCompany, EEUU, Original, Si, Bastante
Aventura, >12, Septiembre, 121, UniversalPicturesInternational, EEUU, HechosReales, Si, Bastante
Thriller, >12, Julio, 100, HispanoFoxfilm, EEUU, HechosReales, Si, Poca
Terror, >18, Noviembre, 97, AurumProducciones, EEUU, Original, No, Poca
Terror, >16, Octubre, 106, AurumProducciones, EEUU, Original, Si, Media
Terror, >18, Septiembre, 82, Otra, ESP, Original, No, MuyPoca
Terror, >16, Mayo, 100, Otra, EEUU, Original, No, Poca
Terror, >16, Diciembre, 82, CastelaoPictures, ESP, Original, No, Poca
Accion, >12, Agosto, 131, Paramount, EEUU, Original, Si, Bastante
Accion, >16, Octubre, 97, HispanoFoxfilm, EEUU, Original, No, Media
Animacion, Todos, Junio, 76, WaltDisneyCompany, EEUU, Original, No, Media
Animacion, Todos, Octubre, 89, SonyPicturesReleasing, EEUU, Original, No, Bastante
Animacion, Todos, Febrero, 108, WaltDisneyCompany, EEUU, Original, No, Bastante
Animacion, Todos, Enero, 93, HispanoFoxfilm, EEUU, Original, No, Bastante
Thriller, >12, Diciembre, 150, HispanoFoxfilm, EEUU, HechosReales, Si, Bastante
Thriller, >12, Septiembre, 98, WarnerBrosEntertainment, ESP, Original, Si, Bastante
Thriller, >16, Septiembre, 94, UniversalPicturesInternational, EEUU, Original, No, Bastante
Accion, >12, Noviembre, 147, SonyPicturesReleasing, EEUU, Original, Si, Bastante
Thriller, >16, Octubre, 103, AurumProducciones, EEUU, Original, Si, Media
Drama, >12, Diciembre, 113, AContracorrienteFilms, EEUU, Libro, Si, Poca
Comedia, >12, Diciembre, 107, Tripictures, EEUU, Original, Si, Poca
Drama, Todos, Diciembre, 121, Otra, EEUU, Original, No, MuyPoca
Comedia, >16, Diciembre, 103, SonyPicturesReleasing, EEUU, Original, No, MuyPoca
Aventura, Todos, Diciembre, 104, InopiaFilms, EEUU, Original, No, Poca
Terror, >12, Diciembre, 98, UniversalPicturesInternational, EEUU, Original, No, Media
Comedia, >16, Diciembre, 101, SonyPicturesReleasing, EEUU, Original, No, MuyPoca
Drama, Todos, Diciembre, 90, AContracorrienteFilms, ESP, Original, No, MuyPoca
Comedia, >16, Noviembre, 74, Otra, ESP, Original, No, MuyPoca
Drama, >12, Noviembre, 113, CastelaoPictures, ESP, Original, No, Poca
Drama, >12, Noviembre, 79, SonyPicturesReleasing, EEUU, Original, No, MuyPoca
Comedia, >12, Noviembre, 85, HispanoFoxfilm, EEUU, Original, No, MuyPoca
Drama, >16, Noviembre, 122, Otra, EEUU, Libro, Si, Poca
Thriller, >16, Noviembre, 108, WarnerBrosEntertainment, ESP, HechosReales, No, Poca
Accion, >16, Noviembre, 121, AurumProducciones, EEUU, Original, Si, Media
Comedia, >12, Noviembre, 99, Otra, ESP, Original, No, MuyPoca
Animacion, Todos, Noviembre, 78, Otra, ESP, Original, No, MuyPoca
Drama, >7, Octubre, 98, AContracorrienteFilms, ESP, Original, No, MuyPoca
Otros, >7, Noviembre, 97, Otra, ESP, Original, No, MuyPoca
Comedia, Todos, Octubre, 121, WarnerBrosEntertainment, EEUU, Original, Si, Bastante
Thriller, >18, Octubre, 73, Otra, ESP, Original, No, MuyPoca
Drama, Todos, Octubre, 121, DeaPlaneta, EEUU, Original, No, Poca
Comedia, >7, Octubre, 101, Otra, ESP, Original, No, MuyPoca
Comedia, >7, Octubre, 106, Otra, EEUU, Original, No, Poca
Otros, Todos, Octubre, 94, Otra, ESP, Original, No, MuyPoca
Terror, >16, Octubre, 88, Paramount, EEUU, Original, No, Media
Drama, >12, Octubre, 98, GolemDistribuciones, ESP, Original, No, Poca
Drama, >18, Octubre, 124, CastelaoPictures, ESP, Original, No, MuyPoca
Otros, >16, Octubre, 119, UniversalPicturesInternational, EEUU, Original, No, Poca
Comedia, >12, Octubre, 125, Otra, ESP, Original, No, Poca
Drama, >7, Octubre, 103, AContracorrienteFilms, EEUU, Original, No, Poca
Thriller, >12, Octubre, 93, Otra, ESP, Original, No, Poca
Comedia, >12, Octubre, 106, HispanoFoxfilm, EEUU, Original, No, Poca
Comedia, >12, Octubre, 77, Otra, ESP, Original, No, MuyPoca
Comedia, >12, Septiembre, 95, AurumProducciones, EEUU, Original, Si, Media
Otros, Todos, Septiembre, 105, Otra, ESP, Libro, No, Poca
Accion, >16, Septiembre, 96, Tripictures, EEUU, Original, Si, Poca
Otros, Todos, Septiembre, 67, Otra, ESP, Original, No, MuyPoca
Drama, >12, Septiembre, 111, AurumProducciones, ESP, Original, Si, Media
Comedia, Todos, Agosto, 92, AContracorrienteFilms, EEUU, Libro, Si, Media
