@relation Espectadores

@attribute genero { Accion, Aventura, Animacion, Comedia,  Drama, Terror, Musical, Sci-fi, Thriller, Otros }
@attribute edad { Todos, >7, >12, >16, >18 }
@attribute mesEstreno { Enero, Febrero, Marzo, Abril, Mayo, Junio, Julio, Agosto, Septiembre, Octubre, Noviembre, Diciembre }
@attribute duracion numeric
@attribute productora { WaltDisneyCompany, TwentiethCenturyFox, UniversalPicturesInternational, WarnerBrosEntertainment, SonyPicturesReleasing, AurumProducciones, Paramount, HispanoFoxfilm, AContracorrienteFilms, CastelaoPictures, DeaPlaneta, Tripictures, Otra }
@attribute pais { ESP, EEUU }
@attribute basadaEn { Libro, Comic, HechosReales, Original }
@attribute espectadores { MuyPocos, Pocos, Medio, Bastantes, Muchos }

@Data
Comedia, Todos, Febrero, 92, Paramount, EEUU, Original, Bastantes
Drama, >18, Febrero, 125, UniversalPicturesInternational, EEUU, Libro, Muchos
Comedia, >7, Marzo, 102, WarnerBrosEntertainment, ESP, Original, Muchos
Accion, >16, Marzo, 120, SonyPicturesReleasing, EEUU, Original, Medio
Accion, >7, Julio, 117, WaltDisneyCompany, EEUU, Comic, Bastantes
Accion, >7, Abril, 142, WaltDisneyCompany, EEUU, Comic, Muchos
Drama, >16, Marzo, 91, UniversalPicturesInternational, EEUU, Original, Medio
Comedia, >16, Mayo, 101, SonyPicturesReleasing, EEUU, Original, Pocos
Animacion, Todos, Marzo, 94, HispanoFoxfilm, EEUU, Original, Bastantes
Accion, >16, Enero, 134, TwentiethCenturyFox, EEUU, Original, Bastantes
Sci-fi, >12, Abril, 119, AurumProducciones, EEUU, Libro, Bastantes
Accion, >16, Abril, 137, UniversalPicturesInternational, EEUU, Original, Muchos
Comedia, >16, Septiembre, 87, WarnerBrosEntertainment, ESP, Comic, Medio
Thriller, >12, Octubre, 106, UniversalPicturesInternational, ESP, Original, Muchos
Comedia, >7, Noviembre, 99, UniversalPicturesInternational, ESP, Original, Muchos
Aventura, >12, Junio, 124, UniversalPicturesInternational, EEUU, Original, Muchos
Accion, >12, Junio, 114, WarnerBrosEntertainment, EEUU, Original, Bastantes
Sci-fi, >12, Julio, 125, Paramount, EEUU, Original, Bastantes
Comedia, >7, Julio, 106, SonyPicturesReleasing, EEUU, Original, Bastantes
Comedia, >16, Julio, 115, UniversalPicturesInternational, EEUU, Original, Bastantes
Thriller, >16, Julio, 83, UniversalPicturesInternational, EEUU, Original,, Medio
Terror, >16, Julio, 80, WarnerBrosEntertainment, EEUU, Original, Bastantes
Drama, >12, Diciembre, 121, WarnerBrosEntertainment, EEUU, HechosReales, Medio
Thriller, >16, Agosto, 108, SonyPicturesReleasing, EEUU, Original, Medio
Drama, >16, Septiembre, 163, Otra, ESP, Libro, Muchos
Sci-fi, >7, Diciembre, 136, WaltDisneyCompany, EEUU, Original, Muchos
Drama, >16, Diciembre, 93, Otra, ESP, Libro, Medio
Sci-fi, >12, Noviembre, 137, AurumProducciones, EEUU, Libro, Muchos
Sci-fi, >7, Octubre, 142, TwentiethCenturyFox, EEUU, Libro,, Muchos
Sci-fi, >7, Diciembre, 100, TwentiethCenturyFox, EEUU, Comic, Bastantes
Drama, >16, Febrero, 132, WarnerBrosEntertainment, EEUU, HechosReales, Muchos
Aventura, >12, Enero, 102, UniversalPicturesInternational, EEUU, Libro, Medio
Terror, >12, Mayo, 94, HispanoFoxfilm,, EEUU, Original, Medio
Terror, >16, Junio, 97, AurumProducciones, EEUU, Original, Medio
Animacion, Todos, Junio, 91, UniversalPicturesInternational, EEUU, Original, Medio
Animacion, Todos, Julio, 94, WaltDisneyCompany, EEUU, Original, Medio
Accion, >12, Septiembre, 132, TwentiethCenturyFox, EEUU, Libro, Pocos
Animacion, Todos, Noviembre, 93, WaltDisneyCompany, EEUU, Original, Muchos
Animacion, Todos, Agosto, 91, Paramount, ESP, Original, Muchos
Sci-fi, >12, Noviembre, 110, AContracorrienteFilms, ESP, Original, Pocos
Comedia, >16, Diciembre, 97, DeaPlaneta, ESP, Original, Pocos
Comedia, >12, Octubre, 93, Otra, ESP, Original, Medio
Animacion, Todos, Diciembre, 89, TwentiethCenturyFox, EEUU, Comic, Bastantes
Otros, >18, Enero, 168, AurumProducciones, EEUU, Original, Bastantes
Otros, >7, Agosto, 104, DeaPlaneta, EEUU, Libro, Pocos
Otros, >12, Junio, 120, Otra, ESP, Original, Medio
Otros, >12, Junio, 86, SonyPicturesReleasing, ESP, Original, Muchos
Drama, >7, Diciembre, 123, SonyPicturesReleasing, EEUU, HechosReales, Medio
Drama, >7, Enero, 114, Tripictures, EEUU, Libro, Bastantes
Comedia, >16, Marzo, 104, WarnerBrosEntertainment, EEUU, Original, Bastantes
Comedia, >12, Agosto, 99, WarnerBrosEntertainment, EEUU, Original, Medio
Aventura, >7, Octubre, 111, WarnerBrosEntertainment, EEUU, Libro, Bastantes
Sci-fi, >12, Febrero, 128, WarnerBrosEntertainment, EEUU, Original, Medio
Accion, >12, Agosto, 116, WarnerBrosEntertainment, EEUU, Original, Medio
Drama, >12, Octubre, 103, CastelaoPictures, ESP, Original, Bastantes
Aventura, Todos, Marzo, 105, WaltDisneyCompany, EEUU, Libro, Muchos
Aventura, >7, Mayo, 129, WaltDisneyCompany, EEUU, Original, Bastantes
Aventura, >12, Septiembre, 121, UniversalPicturesInternational, EEUU, HechosReales, Bastantes
Thriller, >12, Julio, 100, HispanoFoxfilm, EEUU, HechosReales, Pocos
Terror, >18, Noviembre, 97, AurumProducciones, EEUU, Original, Pocos
Terror, >16, Octubre, 106, AurumProducciones, EEUU, Original, Bastantes
Terror, >18, Septiembre, 82, Otra, ESP, Original, MuyPocos
Terror, >16, Mayo, 100, Otra, EEUU, Original, Pocos
Terror, >16, Diciembre, 82, CastelaoPictures, ESP, Original, Pocos
Accion, >12, Agosto, 131, Paramount, EEUU, Original, Muchos
Accion, >16, Octubre, 97, HispanoFoxfilm, EEUU, Original, Medio
Animacion, Todos, Junio, 76, WaltDisneyCompany, EEUU, Original, Medio
Animacion, Todos, Octubre, 89, SonyPicturesReleasing, EEUU, Original, Muchos
Animacion, Todos, Febrero, 108, WaltDisneyCompany, EEUU, Original, Muchos
Animacion, Todos, Enero, 93, HispanoFoxfilm, EEUU, Original, Bastantes
Thriller, >12, Diciembre, 150, HispanoFoxfilm, EEUU, HechosReales, Muchos
Thriller, >12, Septiembre, 98, WarnerBrosEntertainment, ESP, Original, Medio
Thriller, >16, Septiembre, 94, UniversalPicturesInternational, EEUU, Original, Bastantes
Accion, >12, Noviembre, 147, SonyPicturesReleasing, EEUU, Original, Bastantes
Thriller, >16, Octubre, 103, AurumProducciones, EEUU, Original, Medio
Drama, >12, Diciembre, 113, AContracorrienteFilms, EEUU, Libro, Pocos
Comedia, >12, Diciembre, 107, Tripictures, EEUU, Original, Pocos
Drama, Todos, Diciembre, 121, Otra, EEUU, Original, MuyPocos
Comedia, >16, Diciembre, 103, SonyPicturesReleasing, EEUU, Original, MuyPocos
Aventura, Todos, Diciembre, 104, Otra, EEUU, Original, Pocos
Terror, >12, Diciembre, 98, UniversalPicturesInternational, EEUU, Original, Medio
Comedia, >16, Diciembre, 101, SonyPicturesReleasing, EEUU, Original, MuyPocos
Drama, Todos, Diciembre, 90, AContracorrienteFilms, ESP, Original, MuyPocos
Comedia, >16, Noviembre, 74, Otra, ESP, Original, MuyPocos
Drama, >12, Noviembre, 113, CastelaoPictures, ESP, Original, Pocos
Drama, >12, Noviembre, 79, SonyPicturesReleasing, EEUU, Original, MuyPocos
Comedia, >12, Noviembre, 85, HispanoFoxfilm, EEUU, Original, MuyPocos
Drama, >16, Noviembre, 122, Otra, EEUU, Libro, Pocos
Thriller, >16, Noviembre, 108, WarnerBrosEntertainment, ESP, HechosReales, Pocos
Accion, >16, Noviembre, 121, AurumProducciones, EEUU, Original, Medio
Comedia, >12, Noviembre, 99, Otra, ESP, Original, MuyPocos
Animacion, Todos, Noviembre, 78, Otra, ESP, Original, MuyPocos
Drama, >7, Octubre, 98, AContracorrienteFilms, ESP, Original, MuyPocos
Otros, >7, Noviembre, 97, Otra, ESP, Original, MuyPocos
Comedia, Todos, Octubre, 121, WarnerBrosEntertainment, EEUU, Original, Bastantes
Thriller, >18, Octubre, 73, Otra, ESP, Original, MuyPocos
Drama, Todos, Octubre, 121, DeaPlaneta, EEUU, Original, Pocos
Comedia, >7, Octubre, 101, Otra, ESP, Original, MuyPocos
Comedia, >7, Octubre, 106, Otra, EEUU, Original, Pocos
Otros, Todos, Octubre, 94, Otra, ESP, Original, MuyPocos
Terror, >16, Octubre, 88, Paramount, EEUU, Original, Medio
Drama, >12, Octubre, 98, Otra, ESP, Original, Pocos
Drama, >18, Octubre, 124, CastelaoPictures, ESP, Original, Pocos
Otros, >16, Octubre, 119, UniversalPicturesInternational, EEUU, Original, Bastantes
Comedia, >12, Octubre, 125, Otra, ESP, Original, Medio
Drama, >7, Octubre, 103, AContracorrienteFilms, EEUU, Original, Pocos
Thriller, >12, Octubre, 93, Otra, ESP, Original, Pocos
Comedia, >12, Octubre, 106, HispanoFoxfilm, EEUU, Original, Pocos
Comedia, >12, Octubre, 77, Otra, ESP, Original, MuyPocos
Comedia, >12, Septiembre, 95, AurumProducciones, EEUU, Original, Medio
Otros, Todos, Septiembre, 105, Otra, ESP, Libro, Pocos
