@relation Recaudacion

@attribute genero { Accion, Aventura, Animacion, Comedia,  Drama, Terror, Sci-fi, Thriller, Otros }
@attribute edad { Todos, >7, >12, >16, >18 }
@attribute mesEstreno { Enero, Febrero, Marzo, Abril, Mayo, Junio, Julio, Agosto, Septiembre, Octubre, Noviembre, Diciembre }
@attribute duracion numeric
@attribute productora { WaltDisneyCompany, TwentiethCenturyFox, UniversalPicturesInternational, WarnerBrosEntertainment, SonyPicturesReleasing, AurumProducciones, Paramount, HispanoFoxfilm, AContracorrienteFilms, CastelaoPictures, DeaPlaneta, Tripictures, Otra }
@attribute pais { ESP, EEUU }
@attribute basadaEn { Libro, Comic, HechosReales, Original }
@attribute recaudacion { MuyPoca, Poca, Media, Bastante, Mucha }

@Data
Comedia, Todos, Febrero, 92, Paramount, EEUU, Original, Bastante
Drama, >18, Febrero, 125, UniversalPicturesInternational, EEUU, Libro, Mucha
Comedia, >7, Marzo, 102, WarnerBrosEntertainment, ESP, Original, Bastante
Accion, >16, Marzo, 120, SonyPicturesReleasing, EEUU, Original, Mucha
Accion, >7, Julio, 117, WaltDisneyCompany, EEUU, Comic, Bastante
Accion, >7, Abril, 142, WaltDisneyCompany, EEUU, Comic, Mucha
Drama, >16, Marzo, 91, UniversalPicturesInternational, EEUU, Original, Media
Comedia, >16, Mayo, 101, SonyPicturesReleasing, EEUU, Original, Poca
Animacion, Todos, Marzo, 94, HispanoFoxfilm, EEUU, Original, Mucha
Accion, >16, Enero, 134, TwentiethCenturyFox, EEUU, Original, Bastante
Sci-fi, >12, Abril, 119, AurumProducciones, EEUU, Libro, Bastante
Accion, >16, Abril, 137, UniversalPicturesInternational, EEUU, Original, Mucha
Comedia, >16, Septiembre, 87, WarnerBrosEntertainment, ESP, Comic, Media
Thriller, >12, Octubre, 106, UniversalPicturesInternational, ESP, Original, Bastante
Comedia, >7, Noviembre, 99, UniversalPicturesInternational, ESP, Original, Mucha
Aventura, >12, Junio, 124, UniversalPicturesInternational, EEUU, Original, Mucha
Accion, >12, Junio, 114, WarnerBrosEntertainment, EEUU, Original, Bastante
Sci-fi, >12, Julio, 125, Paramount, EEUU, Original, Poca
Comedia, >7, Julio, 106, SonyPicturesReleasing, EEUU, Original, Bastante
Comedia, >16, Julio, 115, UniversalPicturesInternational, EEUU, Original, Bastante
Thriller, >16, Julio, 83, UniversalPicturesInternational, EEUU, Original,, Media
Terror, >16, Julio, 80, WarnerBrosEntertainment, EEUU, Original, Media
Drama, >12, Diciembre, 121, WarnerBrosEntertainment, EEUU, HechosReales, Media
Thriller, >16, Agosto, 108, SonyPicturesReleasing, EEUU, Original, Media
Drama, >16, Septiembre, 163, Otra, ESP, Libro, Mucha
Sci-fi, >7, Diciembre, 136, WaltDisneyCompany, EEUU, Original, Mucha
Drama, >16, Diciembre, 93, Otra, ESP, Libro, Media
Sci-fi, >12, Noviembre, 137, AurumProducciones, EEUU, Libro, Mucha
Sci-fi, >7, Octubre, 142, TwentiethCenturyFox, EEUU, Libro,, Bastante
Sci-fi, >7, Diciembre, 100, TwentiethCenturyFox, EEUU, Comic, Bastante
Drama, >16, Febrero, 132, WarnerBrosEntertainment, EEUU, HechosReales, Bastante
Aventura, >12, Enero, 102, UniversalPicturesInternational, EEUU, Libro, Media
Terror, >12, Mayo, 94, HispanoFoxfilm,, EEUU, Original, Media
Terror, >16, Junio, 97, AurumProducciones, EEUU,  Original, Media
